Regioes,Saldo,Ano
Barbacena,952,2020
Belo Horizonte,12266,2020
Divinopolis,4908,2020
Governador Valadares,152,2020
Ipatinga,-642,2020
Juiz de Fora,1323,2020
Montes Claros,515,2020
Patos de Minas,1946,2020
Pouso Alegre,2608,2020
Teofilo Otoni,855,2020
Uberaba,1483,2020
Uberlandia,1066,2020
Varginha,1511,2020
Barbacena,1932,2021
Belo Horizonte,27482,2021
Divinopolis,3800,2021
Governador Valadares,1066,2021
Ipatinga,2667,2021
Juiz de Fora,-2714,2021
Montes Claros,4119,2021
Patos de Minas,5783,2021
Pouso Alegre,6892,2021
Teofilo Otoni,1986,2021
Uberaba,4676,2021
Uberlandia,10764,2021
Varginha,6403,2021
Barbacena,9247,2022
Belo Horizonte,119699,2022
Divinopolis,19344,2022
Governador Valadares,2236,2022
Ipatinga,12375,2022
Juiz de Fora,19501,2022
Montes Claros,13983,2022
Patos de Minas,15687,2022
Pouso Alegre,18015,2022
Teofilo Otoni,5675,2022
Uberaba,13967,2022
Uberlandia,17252,2022
Varginha,18468,2022
Barbacena,5822,2023
Belo Horizonte,69525,2023
Divinopolis,12562,2023
Governador Valadares,3815,2023
Ipatinga,9414,2023
Juiz de Fora,9822,2023
Montes Claros,8417,2023
Patos de Minas,11456,2023
Pouso Alegre,9266,2023
Teofilo Otoni,4996,2023
Uberaba,9809,2023
Uberlandia,5885,2023
Varginha,9882,2023
Barbacena,6153,2024
Belo Horizonte,73595,2024
Divinopolis,8276,2024
Governador Valadares,1515,2024
Ipatinga,914,2024
Juiz de Fora,11418,2024
Montes Claros,5230,2024
Patos de Minas,6186,2024
Pouso Alegre,10770,2024
Teofilo Otoni,5316,2024
Uberaba,8376,2024
Uberlandia,10811,2024
Varginha,11397,2024
Barbacena,3494,2025
Belo Horizonte,54950,2025
Divinopolis,10107,2025
Governador Valadares,2452,2025
Ipatinga,2919,2025
Juiz de Fora,17804,2025
Montes Claros,7208,2025
Patos de Minas,5599,2025
Pouso Alegre,13018,2025
Teofilo Otoni,8238,2025
Uberaba,6290,2025
Uberlandia,7067,2025
Varginha,9544,2025
Barbacena,2391,2026
Belo Horizonte,16301,2026
Divinopolis,90,2026
Governador Valadares,-387,2026
Ipatinga,-243,2026
Juiz de Fora,5954,2026
Montes Claros,3793,2026
Patos de Minas,402,2026
Pouso Alegre,5914,2026
Teofilo Otoni,3559,2026
Uberaba,4445,2026
Uberlandia,4580,2026
Varginha,4934,2026
